,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
102,058850,KTcs,386.0,7.46,5029.0,0.57,100,3.47
103,058860,KTis,455.0,5.71,6665.0,0.39,120,4.62
104,122450,KX,420.0,9.74,6234.0,0.66,200,4.89
105,052900,KX하이텍,81.0,13.02,2123.0,0.5,0,0.0
106,376190,LB루셈,48.0,103.13,8276.0,0.6,0,0.0
107,309960,LB인베스트먼트,286.0,15.38,5020.0,0.88,200,4.55
108,093050,LF,2899.0,4.89,53693.0,0.26,700,4.94
109,003550,LG,8032.0,9.89,167498.0,0.47,3100,3.9
110,051900,LG생활건강,8513.0,39.94,324268.0,1.05,3500,1.03
111,373220,LG에너지솔루션,5287.0,62.04,86328.0,3.8,0,0.0
112,032640,LG유플러스,1449.0,6.68,19711.0,0.49,650,6.71
113,011070,LG이노텍,23884.0,10.32,199226.0,1.24,2610,1.06
114,066570,LG전자,3954.0,24.58,109209.0,0.89,800,0.82
115,051910,LG화학,17086.0,16.83,411275.0,0.7,3500,1.22
116,079550,LIG넥스원,8028.0,23.88,48286.0,3.97,1950,1.02
117,225190,LK삼양,14.0,135.79,593.0,3.21,60,3.16
118,006260,LS,15881.0,7.38,172545.0,0.68,1600,1.37
119,010120,LS ELECTRIC,7012.0,24.34,58345.0,2.93,2800,1.64
120,000680,LS네트웍스,145.0,24.28,7619.0,0.46,0,0.0
121,060370,LS마린솔루션,472.0,43.01,4987.0,4.07,160,0.79
122,417200,LS머트리얼즈,214.0,82.01,2668.0,6.58,22,0.13
123,229640,LS에코에너지,136.0,204.41,4793.0,5.8,200,0.72
124,078020,LS증권,423.0,11.54,13813.0,0.35,150,3.07
125,108320,LX세미콘,6222.0,11.33,60056.0,1.17,1800,2.55
126,001120,LX인터내셔널,3255.0,9.46,63172.0,0.49,1200,3.9
127,108670,LX하우시스,6186.0,6.75,83467.0,0.5,1700,4.07
128,383800,LX홀딩스,1015.0,6.95,21403.0,0.33,270,3.83
129,086960,MDS테크,17.0,70.65,1327.0,0.91,0,0.0
130,023150,MH에탄올,718.0,8.68,10724.0,0.58,250,4.01
131,035420,NAVER,6661.0,23.54,154077.0,1.02,1205,0.77
132,053290,NE능률,65.0,67.31,5171.0,0.85,0,0.0
133,060250,NHN KCP,913.0,8.29,5780.0,1.31,200,2.64
134,005940,NH투자증권,1588.0,8.73,21757.0,0.64,800,5.77
135,034310,NICE,110.0,98.0,21341.0,0.51,451,4.18
136,030190,NICE평가정보,946.0,10.67,6249.0,1.61,410,4.06
137,008260,NI스틸,1756.0,2.2,8188.0,0.47,125,3.23
138,004250,NPC,650.0,7.22,8873.0,0.53,100,2.13
139,222160,NPX,15.0,536.0,2928.0,2.75,0,0.0
140,456040,OCI,7052.0,11.6,132933.0,0.62,2000,2.44
141,010060,OCI홀딩스,36540.0,2.03,190202.0,0.39,3300,4.45
142,024940,PN풍년,231.0,17.47,5109.0,0.79,35,0.87
143,005490,POSCO홀딩스,22382.0,14.36,714069.0,0.45,10000,3.11
144,218410,RFHIC,671.0,18.06,11103.0,1.09,100,0.83
145,010950,S-Oil,8149.0,7.65,77629.0,0.8,1700,2.73
146,019550,SBI인베스트먼트,52.0,14.23,783.0,0.95,0,0.0
147,034120,SBS,2613.0,6.07,47382.0,0.33,500,3.15
148,036120,SCI평가정보,14.0,182.5,830.0,3.08,50,1.96
149,040610,SG&G,592.0,2.7,10247.0,0.16,0,0.0
150,005090,SGC에너지,2953.0,9.4,49925.0,0.56,1700,6.13
151,001380,SG글로벌,449.0,5.2,3137.0,0.74,0,0.0
152,001770,SHD,91.0,176.04,42198.0,0.38,100,0.62
153,123700,SJM,1128.0,3.13,12162.0,0.29,175,4.96
154,025530,SJM홀딩스,709.0,5.13,11504.0,0.32,225,6.19
155,018670,SK가스,35241.0,4.95,287583.0,0.61,8000,4.58
156,006120,SK디스커버리,9699.0,3.59,150811.0,0.23,1700,4.89
157,210980,SK디앤디,4177.0,2.1,31495.0,0.28,800,9.1
158,302440,SK바이오사이언스,291.0,200.34,22178.0,2.63,0,0.0
159,361610,SK아이이테크놀로지,1152.0,27.56,33825.0,0.94,0,0.0
160,100090,SK오션플랜트,1041.0,13.9,11734.0,1.23,0,0.0
161,096770,SK이노베이션,2808.0,35.79,230169.0,0.44,0,0.0
