종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"347740","피엔케이피부임상연구센타","2585","0","0.00","160","16.16",,,"2493","1.04","30","1.16"
"137400","피엔티","55400","400","0.73","3136","17.67","6414","8.64","18063","3.07","0","0.00"
"257370","피엔티엠에스","9210","0","0.00",,,,,"2111","4.36","0","0.00"
"147760","피엠티","3620","40","1.12",,,,,"4191","0.86","0","0.00"
"128660","피제이메탈","3325","40","1.22","566","5.87",,,"2862","1.16","150","4.51"
"006140","피제이전자","5950","20","0.34","411","14.48",,,"8427","0.71","120","2.02"
"376180","피코그램","2825","70","2.54","243","11.63",,,"1956","1.44","0","0.00"
"304840","피플바이오","3885","-80","-2.02",,,,,"882","4.40","0","0.00"
"062970","피피아이","1917","14","0.74",,,,,"785","2.44","0","0.00"
"087600","픽셀플러스","7520","70","0.94",,,,,"13063","0.58","0","0.00"
"291810","핀텔","2200","30","1.38",,,,,"1822","1.21","0","0.00"
"378340","필에너지","15170","940","6.61",,,,,"6025","2.52","0","0.00"
"161580","필옵틱스","17760","780","4.59",,,,,"7200","2.47","2502","14.09"
"347770","핌스","2760","125","4.74","123","22.44",,,"2619","1.05","0","0.00"
"163730","핑거","6740","120","1.81","486","13.87",,,"5295","1.27","120","1.78"
"417180","핑거스토리","2420","25","1.04","126","19.21",,,"1439","1.68","0","0.00"
"446750","하나26호스팩","2175","-5","-0.23",,,,,,,"0","0.00"
"448370","하나27호스팩","2150","-5","-0.23",,,,,,,"0","0.00"
"454750","하나28호스팩","2130","5","0.24",,,,,,,"0","0.00"
"454640","하나29호스팩","2170","15","0.70",,,,,,,"0","0.00"
"469880","하나30호스팩","2105","10","0.48",,,,,,,"0","0.00"
"469900","하나31호스팩","2095","-10","-0.48",,,,,,,"0","0.00"
"475240","하나32호스팩","2180","-10","-0.46",,,,,,,"0","0.00"
"475250","하나33호스팩","2165","5","0.23",,,,,,,"0","0.00"
"406760","하나금융21호스팩","2070","35","1.72",,,,,,,"0","0.00"
"418170","하나금융22호스팩","2380","0","0.00",,,,,,,"0","0.00"
"430230","하나금융24호스팩","1762","0","0.00",,,,,,,"0","0.00"
"435620","하나금융25호스팩","10130","-30","-0.30",,,,,,,"0","0.00"
"299030","하나기술","30000","1450","5.08",,,,,"14110","2.13","0","0.00"
"067310","하나마이크론","14920","720","5.07",,,"1022","14.59","5506","2.71","50","0.34"
