선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,고4,HBP,희플,희타,병살,도실,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,볼넷%,삼진%,볼/삼,ISO,타수/홈런,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA,WAR
박병호      ,Hero  ,118,477,409,93,50,23,0,20,3,14,7,7,9,1,48,76,47,141,0,0,0.227,0.323,0.43,0.753,0.336,0.55,9.8,29.6,0.33,0.203,20.45,0.753,59.02,4.79,57.82,1.78,-0.51,0.336,-0.84,0.55
알테어      ,NC    ,143,565,492,134,81,19,2,32,2,11,4,4,6,5,83,84,57,156,20,0,0.272,0.358,0.514,0.872,0.384,4.89,10.1,27.6,0.36,0.242,15.38,0.872,95.74,6.93,92.94,5.77,1.62,0.384,23.46,4.89
최인호      ,한화  ,49,164,136,28,18,6,0,4,0,2,2,2,1,1,17,23,24,43,2,0,0.206,0.329,0.338,0.667,0.318,0.03,14.6,26.2,0.56,0.132,34,0.667,17.5,4.22,17.14,3.81,-0.08,0.318,-3.03,0.03
노시환      ,한화  ,107,458,380,103,66,18,1,18,9,1,4,4,15,2,56,84,73,107,5,0,0.271,0.386,0.466,0.852,0.38,3.56,15.9,23.4,0.68,0.195,21.11,0.852,69.49,6.3,73.8,2.37,0.02,0.38,17.48,3.56
김규남      ,SSG   ,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.22,0,42.9,0,0,,0,0,0,-1.3,,0,0,-2.16,-0.22
노태형      ,한화  ,18,49,43,5,4,1,0,0,0,0,0,0,0,0,6,1,6,15,0,0,0.116,0.224,0.14,0.364,0.196,-0.6,12.2,30.6,0.4,0.024,,0.364,1.7,1.21,-0.34,4.54,0,0.196,-6.37,-0.6
유장혁      ,한화  ,34,112,98,14,8,5,0,1,0,2,2,3,2,1,11,7,8,39,2,0,0.143,0.218,0.224,0.442,0.213,-0.96,7.1,34.8,0.2,0.081,98,0.442,5.25,1.58,0.96,4.52,-0.07,0.213,-12.81,-0.96
김준태      ,롯데  ,47,131,111,23,14,5,0,4,0,1,2,2,2,0,17,15,17,35,0,0,0.207,0.313,0.36,0.673,0.313,0.44,13,26.7,0.49,0.153,27.75,0.673,13.71,4.02,13.09,2.56,-0.01,0.313,-3.02,0.44
이현석      ,SSG   ,39,89,79,21,12,5,0,4,0,0,2,5,0,0,7,19,5,29,0,0,0.266,0.302,0.481,0.783,0.338,0.54,5.6,32.6,0.17,0.215,19.75,0.783,12.27,5.26,10.93,2.5,-0.01,0.338,-0.02,0.54
추신수      ,SSG   ,137,580,461,122,80,19,2,21,4,12,4,4,8,9,84,69,103,123,25,0,0.265,0.409,0.451,0.86,0.396,4.3,17.8,21.2,0.84,0.186,21.95,0.86,95.69,7.18,101.83,5.33,0.76,0.396,30.5,4.3
안상현      ,SSG   ,37,40,39,10,7,2,0,1,0,0,0,0,0,1,9,4,1,15,3,0,0.256,0.275,0.385,0.66,0.292,-0.01,2.5,37.5,0.07,0.129,39,0.66,4.21,3.79,3.25,8.3,0.13,0.292,-1.67,-0.01
박경수      ,KT    ,118,280,239,46,27,10,0,9,2,3,0,4,7,1,24,33,34,76,0,0,0.192,0.301,0.347,0.648,0.3,-0.01,12.1,27.1,0.45,0.155,26.56,0.648,25.23,3.32,24.74,1.28,-0.49,0.3,-9.69,-0.01
임종찬      ,한화  ,42,146,131,20,14,5,0,1,0,1,0,2,2,1,9,8,12,49,0,0,0.153,0.229,0.214,0.443,0.217,-1.47,8.2,33.6,0.24,0.061,131,0.443,6.66,1.55,1.8,2.5,-0.47,0.217,-16.16,-1.47
나지완      ,KIA   ,31,102,81,13,12,1,0,0,0,6,1,1,3,0,3,7,14,29,0,0,0.16,0.324,0.173,0.497,0.273,-0.41,13.7,28.4,0.48,0.013,,0.497,5.9,2.21,6.51,0.22,-0.01,0.273,-6.04,-0.41
이주형      ,LG    ,14,19,16,2,2,0,0,0,0,1,0,1,0,1,3,0,1,7,2,0,0.125,0.222,0.125,0.347,0.189,-0.25,5.3,36.8,0.14,0,,0.347,0.64,1.08,-0.25,12.07,-0.06,0.189,-2.58,-0.25
오준혁      ,SSG   ,26,50,46,10,6,2,0,2,0,0,0,0,2,0,7,5,4,15,0,0,0.217,0.28,0.391,0.671,0.301,-0.1,8,30,0.27,0.174,23,0.671,4.57,3.25,4.47,1.14,0,0.301,-1.68,-0.1
김주원      ,NC    ,69,189,166,40,27,7,1,5,0,2,2,4,5,2,20,16,17,57,6,0,0.241,0.316,0.386,0.702,0.319,0.6,9,30.2,0.3,0.145,33.2,0.702,20.47,4.03,20.04,4.23,0.26,0.319,-3.2,0.6
김휘집      ,Hero  ,34,89,70,9,7,1,0,1,0,2,1,4,0,0,9,8,13,23,1,0,0.129,0.279,0.186,0.465,0.248,-0.4,14.6,25.8,0.56,0.057,70,0.465,5.34,2.22,3.61,4.81,0.19,0.248,-7.34,-0.4
김호령      ,KIA   ,62,154,130,27,21,2,0,4,0,6,0,2,2,1,16,15,16,44,4,0,0.208,0.322,0.315,0.637,0.308,0.21,10.4,28.6,0.36,0.107,32.5,0.637,14.89,3.72,14.7,4.25,0.32,0.308,-4.24,0.21
김재환      ,두산  ,137,566,475,130,78,23,2,27,3,5,5,5,9,3,86,102,81,127,2,0,0.274,0.382,0.501,0.883,0.393,4.26,14.3,22.4,0.64,0.227,17.59,0.883,94.97,7.08,97.84,3.45,-1.05,0.393,28.24,4.26
장두성      ,롯데  ,43,41,36,8,5,2,1,0,0,0,0,0,0,2,12,4,5,12,4,0,0.222,0.317,0.333,0.65,0.306,0.01,12.2,29.3,0.42,0.111,,0.65,4.13,3.72,3.84,13.25,-0.13,0.306,-1.21,0.01
조수행      ,두산  ,115,104,84,24,20,2,1,1,0,3,0,1,1,4,34,8,16,26,21,0,0.286,0.417,0.369,0.786,0.38,1.01,15.4,25,0.62,0.083,84,0.786,17.31,7.08,16.8,11.02,2.33,0.38,4.01,1.01
문찬종      ,Hero  ,13,17,14,2,2,0,0,0,0,0,0,0,1,0,0,1,3,4,0,0,0.143,0.294,0.143,0.437,0.245,-0.09,17.6,23.5,0.75,0,,0.437,0.65,1.35,0.64,-2.19,0,0.245,-1.45,-0.09
