산업별(1),수익현황별(1),2024.01,2024.02,2024.03,2024.04,2024.05,2024.06
운수장비,총자본경상이익률 (%),2.7,2.7,2.7,8.44,8.44,8.44
운수장비,매출액경상이익률 (%),3.42,3.42,3.42,9.4,9.4,9.4
운수장비,매출액이익률 (%),2.58,2.58,2.58,7.58,7.58,7.58
운수장비,매출액증가율 (%),17.11,17.11,17.06,23.67,21.74,21.74
기타제조업,회사수 (개),15,15,15,15,14,14
기타제조업,매출액 (백만원),7349188,7349188,7349188,7227852,7208892,7208892
기타제조업,영업이익 (백만원),1205680,1205680,1205680,1055445,1056932,1056932
기타제조업,경상이익 (백만원),1331344,1331344,1331344,1240454,1246859,1246859
기타제조업,당기순이익 (백만원),961770,961770,961770,915259,921834,921834
기타제조업,납입자본이익률 (%),70.1,70.1,70.1,65.92,67.62,67.62
기타제조업,자기자본이익률 (%),8.36,8.36,8.36,7.98,8.07,8.07
기타제조업,총자본경상이익률 (%),8.77,8.77,8.77,7.91,7.98,7.98
기타제조업,매출액경상이익률 (%),18.12,18.12,18.12,17.16,17.3,17.3
기타제조업,매출액이익률 (%),13.09,13.09,13.09,12.66,12.79,12.79
기타제조업,매출액증가율 (%),4.34,4.34,4.34,-1.65,-1.91,-1.91
유통업,회사수 (개),61,61,61,61,60,60
유통업,매출액 (백만원),166711801,166711801,166711801,153407004,154552903,154552903
유통업,영업이익 (백만원),5106237,5106237,5106237,5206856,5256263,5256263
유통업,경상이익 (백만원),5448667,5448667,5448667,5801864,5998977,5998977
유통업,당기순이익 (백만원),4259173,4259173,4259173,4540888,4742596,4742596
유통업,납입자본이익률 (%),93.13,93.13,93.13,93.01,98.18,98.18
유통업,자기자본이익률 (%),5.01,5.01,5.01,4.77,4.98,4.98
유통업,총자본경상이익률 (%),3.26,3.26,3.26,3.26,3.37,3.37
유통업,매출액경상이익률 (%),3.27,3.27,3.27,3.78,3.88,3.88
유통업,매출액이익률 (%),2.55,2.55,2.55,2.96,3.07,3.07
유통업,매출액증가율 (%),13.85,12.39,11.34,-8.98,-7.25,-7.25
전기가스,회사수 (개),10,10,10,10,10,10
전기가스,매출액 (백만원),134117367,134117367,134117367,142602865,142602865,142602865
전기가스,영업이익 (백만원),-32108487,-32108487,-32108487,-4749388,-4749388,-4749388
전기가스,경상이익 (백만원),-33390589,-33390589,-33390589,-5738553,-5738553,-5738553
전기가스,당기순이익 (백만원),-24466934,-24466934,-24466934,-3734773,-3734773,-3734773
전기가스,납입자본이익률 (%),-600.09,-600.09,-600.09,-91.6,-91.6,-91.6
전기가스,자기자본이익률 (%),-68.08,-68.08,-68.08,-11.56,-11.56,-11.56
전기가스,총자본경상이익률 (%),-16.08,-16.08,-16.08,-2.74,-2.74,-2.74
전기가스,매출액경상이익률 (%),-24.9,-24.9,-24.9,-4.02,-4.02,-4.02
전기가스,매출액이익률 (%),-18.24,-18.24,-18.24,-2.62,-2.62,-2.62
전기가스,매출액증가율 (%),40.5,40.5,40.5,6.33,6.33,6.33
건설업,회사수 (개),29,29,28,28,26,26
건설업,매출액 (백만원),62590547,62590547,60628127,70235989,66475035,66475035
건설업,영업이익 (백만원),2326264,2326264,2245191,541476,666544,666544
건설업,경상이익 (백만원),2558006,2558006,2473666,-985464,736639,736639
건설업,당기순이익 (백만원),1737124,1737124,1681703,-1155542,569539,569539
건설업,납입자본이익률 (%),31.66,31.66,31.32,-21.62,11.12,11.12
건설업,자기자본이익률 (%),5.61,5.61,5.61,-4.08,1.97,1.97
건설업,총자본경상이익률 (%),3.4,3.4,3.37,-1.29,1.01,1.01
건설업,매출액경상이익률 (%),4.09,4.09,4.08,-1.4,1.11,1.11
건설업,매출액이익률 (%),2.78,2.78,2.77,-1.65,0.86,0.86
건설업,매출액증가율 (%),6.65,6.65,3.3,12.58,6.56,6.56
운수창고업,회사수 (개),25,25,25,25,23,23
운수창고업,매출액 (백만원),83510024,83510024,83510024,73996673,73831984,73831984
운수창고업,영업이익 (백만원),16132152,16132152,16132152,5437989,5351751,5351751
운수창고업,경상이익 (백만원),15546497,15546497,15546497,4867423,4807390,4807390
운수창고업,당기순이익 (백만원),14265814,14265814,14265814,4112414,3928990,3928990
운수창고업,납입자본이익률 (%),222.41,222.41,222.41,55.29,54.52,54.52
운수창고업,자기자본이익률 (%),27.33,27.33,27.33,7.51,7.53,7.53
운수창고업,총자본경상이익률 (%),13.89,13.89,13.89,4.29,4.36,4.36
운수창고업,매출액경상이익률 (%),18.62,18.62,18.62,6.58,6.51,6.51
운수창고업,매출액이익률 (%),17.08,17.08,17.08,5.56,5.32,5.32
운수창고업,매출액증가율 (%),30.97,30.97,30.97,-11.39,-11.59,-11.59
통신업,회사수 (개),5,5,5,5,5,5
통신업,매출액 (백만원),43576535,43576535,43576535,44317282,44317282,44317282
통신업,영업이익 (백만원),3536669,3536669,3536669,3618890,3618890,3618890
통신업,경상이익 (백만원),3260833,3260833,3260833,3253083,3253083,3253083
통신업,당기순이익 (백만원),2276630,2276630,2276630,2595679,2595679,2595679
통신업,납입자본이익률 (%),53.19,53.19,53.19,60.62,60.62,60.62
통신업,자기자본이익률 (%),6.66,6.66,6.66,7.47,7.47,7.47
통신업,총자본경상이익률 (%),4.27,4.27,4.27,4.33,4.33,4.33
통신업,매출액경상이익률 (%),7.48,7.48,7.48,7.34,7.34,7.34
통신업,매출액이익률 (%),5.22,5.22,5.22,5.86,5.86,5.86
통신업,매출액증가율 (%),0.49,0.49,0.49,1.7,1.7,1.7
서비스업,회사수 (개),110,112,107,115,115,113
서비스업,매출액 (백만원),57842438,57878847,57794719,58415872,58454677,58405670
서비스업,영업이익 (백만원),7081109,7072839,7005275,7317606,7361041,7315861
서비스업,경상이익 (백만원),7534795,7527049,7475941,7413428,7456868,7413487
서비스업,당기순이익 (백만원),5814999,5807253,5756145,5602620,5642326,5598944
서비스업,납입자본이익률 (%),87.17,85.75,89.04,81.01,81.59,81.63
서비스업,자기자본이익률 (%),6.63,6.54,6.64,6,6.04,6.03
서비스업,총자본경상이익률 (%),5.17,5.13,5.22,4.86,4.88,4.89
서비스업,매출액경상이익률 (%),13.03,13,12.94,12.69,12.76,12.69
서비스업,매출액이익률 (%),10.05,10.03,9.96,9.59,9.65,9.59
서비스업,매출액증가율 (%),10.89,10.96,9.9,-0.45,-0.31,-0.39
